name,type,value,shield,boost,overheat,backLabel,evolve,storyMechanic,modify,effectText,flavorText,category,tier,box,deck,cardNum,boxCode,cardCode,release
,,,,,,,,,,,,,,,,,,,
Amethyst Shard,Gem,0,,,,,,,,Gain 1꒔. Any ally may draw a card and then discard a card in hand.,There is an irony to the weaponsmith that is best described as blunt.,"Adelheim, Breach Mage Weaponsmith",,Aeon's End,,01,AE-,AE-01,1
Buried Light,Spell,0,,,,,,,,Cast: Deal 1 damage. Gain 1꒔.,"Hers is a fire that burns bright and with a single purpose: to deliver us back to The World That Was, no matter what cost.","Brama, Breach Mage Elder",,Aeon's End,,02,AE-,AE-02,1
Emerald Shard,Gem,0,,,,,,,,"Gain 1꒔.
OR
Any player gains 1 life.","The caves run deep in Gravehold, ssome say to a shadow city even older than time. Yet none have delved as deep as Kadir.","Kadir, Breach Mage Delver",,Aeon's End,,03,AE-,AE-03,1
Flare,Spell,0,,,,,,,,"Cast: Reveal the top card of the turn order deck, and then place it back on top of the turn order deck. If you revealed a player turn order card, deal 3 damage. Otherwise, deal 1 damage.","The other mages do not fully trust Xaxos, for there is a darkness they perceive in his words.","Xaxos, Breach Mage Adept",,Aeon's End,,04,AE-,AE-04,1
Garnet Shard,Gem,0,,,,,,,,"Gain 1꒔.
OR
Cast any player's prepped spell.","Thrice has she walked into the breach to face them, a feat not yet attempted by other mages.","Mist, Breach Mage Dagger Captain",,Aeon's End,,05,AE-,AE-05,1
Moonstone Shard,Gem,0,,,,,,,,Gain 1꒔. Gain an additional 1꒔ that can only be used to gain a gem.,"Like many children of Gravehold, Jian was left an orphan, stricken silent by the very thing that took her father's light.","Jian, Breach Mage Orphan",,Aeon's End,,06,AE-,AE-06,1
Quartz Shard,Gem,0,,,,,,,,"Gain 1꒔. Reveal the top card of the turn order deck. You may place that card on the bottom or the top of the turn order deck. If you revealed a player turn order card, gain an additional 1꒔.","Laughter is scarce these days in Gravehold, yet Lash manages to conjure a smile in most he meets.","Lash, Breach Mage Scout",,Aeon's End,,07,AE-,AE-07,1
Tourmaline Shard,Gem,0,,,,,,,,"Gain 1꒔. Any ally may suffer 1 damage. If they do, they destroy a card in hand.",Phaedraxa is burdened with a sense beyond sight. Only she remembers The World That Was.,"Phaedraxa, Breach Mage Seer",,Aeon's End,,08,AE-,AE-08,1
Crystal,Gem,0,,,,,,,,Gain 1꒔.,"The aether is trapped in even the simplest of stones. Now these gems grant us the same power that put our world low. - Brama, Breach Mage Elder",,,Aeon's End,,09,AE-,AE-09,1
Crystal,Gem,0,,,,,,,,Gain 1꒔.,"The aether is trapped in even the simplest of stones. Now these gems grant us the same power that put our world low. - Brama, Breach Mage Elder",,,Aeon's End,,10,AE-,AE-10,1
Crystal,Gem,0,,,,,,,,Gain 1꒔.,"The aether is trapped in even the simplest of stones. Now these gems grant us the same power that put our world low. - Brama, Breach Mage Elder",,,Aeon's End,,11,AE-,AE-11,1
Crystal,Gem,0,,,,,,,,Gain 1꒔.,"The aether is trapped in even the simplest of stones. Now these gems grant us the same power that put our world low. - Brama, Breach Mage Elder",,,Aeon's End,,12,AE-,AE-12,1
Crystal,Gem,0,,,,,,,,Gain 1꒔.,"The aether is trapped in even the simplest of stones. Now these gems grant us the same power that put our world low. - Brama, Breach Mage Elder",,,Aeon's End,,13,AE-,AE-13,1
Crystal,Gem,0,,,,,,,,Gain 1꒔.,"The aether is trapped in even the simplest of stones. Now these gems grant us the same power that put our world low. - Brama, Breach Mage Elder",,,Aeon's End,,14,AE-,AE-14,1
Crystal,Gem,0,,,,,,,,Gain 1꒔.,"The aether is trapped in even the simplest of stones. Now these gems grant us the same power that put our world low. - Brama, Breach Mage Elder",,,Aeon's End,,15,AE-,AE-15,1
Crystal,Gem,0,,,,,,,,Gain 1꒔.,"The aether is trapped in even the simplest of stones. Now these gems grant us the same power that put our world low. - Brama, Breach Mage Elder",,,Aeon's End,,16,AE-,AE-16,1
Crystal,Gem,0,,,,,,,,Gain 1꒔.,"The aether is trapped in even the simplest of stones. Now these gems grant us the same power that put our world low. - Brama, Breach Mage Elder",,,Aeon's End,,17,AE-,AE-17,1
Crystal,Gem,0,,,,,,,,Gain 1꒔.,"The aether is trapped in even the simplest of stones. Now these gems grant us the same power that put our world low. - Brama, Breach Mage Elder",,,Aeon's End,,18,AE-,AE-18,1
Crystal,Gem,0,,,,,,,,Gain 1꒔.,"The aether is trapped in even the simplest of stones. Now these gems grant us the same power that put our world low. - Brama, Breach Mage Elder",,,Aeon's End,,19,AE-,AE-19,1
Crystal,Gem,0,,,,,,,,Gain 1꒔.,"The aether is trapped in even the simplest of stones. Now these gems grant us the same power that put our world low. - Brama, Breach Mage Elder",,,Aeon's End,,20,AE-,AE-20,1
Crystal,Gem,0,,,,,,,,Gain 1꒔.,"The aether is trapped in even the simplest of stones. Now these gems grant us the same power that put our world low. - Brama, Breach Mage Elder",,,Aeon's End,,21,AE-,AE-21,1
